pair_id,topic_similarity,gap_publication_days,topic_a,text_a,topic_b,text_b,date_basis,text_kind_a,text_kind_b,stance_determinable_both,same_specific_proposition,stance_a,stance_b,relation,confidence,notes,transcript_verified,hearing_dates_verified
263f772b51bf1354,0.142105,173,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",Prioridade para a agenda do envelhecimento saudável no G20,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
d4e87de87b4f3431,0.172702,118,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,"""Ela é esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico e lavagem de dinheiro. Nos causou muito desconforto, principalmente porque houve audiência com servidores e o ministério pagou diárias e viagens. Nós fizemos requerimento de informação, denúncia na Comissão de Ética Pública e projeto de lei para que a não publicização de agenda e compromisso seja configurada como improbidade administrativa.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
24c599750bdd544f,0.651838,14,Regulamentação dos mercados digitais no Brasil,"Acredita que a audiência pública com especialistas estrangeiros é um movimento de vanguarda no Parlamento brasileiro: ""Nós estamos aqui tendo uma grande oportunidade de enriquecer o debate, aprendendo com o que já foi construído em outros países, e a experiência que têm, considerando o fato de que os mercados digitais têm se expandido de forma exponencial nas últimas décadas com serviços de tecnologia e informação se tornando cada vez mais presentes na vida cotidiana das pessoas e empresas.""",Mudanças no projeto de regulamentação dos mercados digitais (PL 2768/22),"""Nós entendemos a importância dos mercados digitais na economia local e é fundamental que a Câmara dos Deputados promova um debate aprofundado. Posteriormente faremos também um seminário para incluir demais players.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
8f79764e69daadf2,0.142105,173,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",Prioridade para a agenda do envelhecimento saudável no G20,A pauta do envelhecimento saudável não é exclusiva do Brasil.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
af4d70f0c140e9c9,0.197176,215,Discussão sobre a eficácia de guardas armados e medidas de segurança nas escolas para combater a violência,"O aumento da violência nas escolas é reflexo do ambiente político vigente no Brasil nos últimos anos: ""O que a gente podia esperar se tivemos personalidades políticas que incitavam o ódio e a violência, faziam 'arminha'? Até hoje parlamentares desta Casa tiram foto com metralhadora empunhada, disseminando o ódio e a violência.""",Inclusão de emendas na LDO para combater violência contra crianças e adolescentes,As cinco emendas no projeto de Lei de Diretrizes Orçamentárias (LDO) de 2024 para combater a violência contra crianças e adolescentes foram aceitas pelo relator da LDO.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
d4c07b40fb424a0c,0.566205,20,Obrigatoriedade da vacinação contra Covid-19 em crianças de 6 meses a 5 anos a partir de 2024,"A discussão não deve ser politizada: ""Existe uma elite globalista que quer, sim, forçar essa vacinação, inclusive em bebês, e o Brasil está sendo pioneiro nessa obrigação. No resto do mundo, até pode se recomendar, mas não se obriga. Vão começar pelo Brasil pra depois começar a obrigar nos outros lugares também?""",Debate sobre a vacinação de crianças contra Covid-19,"O imunizante não deveria ser chamado de vacina, mas de terapia gênica. O assunto precisa de mais debates: ""Nós somos todos favoráveis às vacinas que estão no PNI há muito tempo, que são vacinas seguras, de eficácia comprovada, mas essa, o próprio FDA chama de terapia gênica.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
0138e27cd0f53d95,0.104432,99,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,"Considera constrangedor que o projeto ainda não tenha sido aprovado: ""Nós estamos agora em um processo de articulação para a aprovação dessa que é uma necessidade para o nosso país, e nos constrange ter isso na pauta há tanto tempo e ainda não termos conseguido. Já me reuni com o presidente desta Casa, que se comprometeu em nos ajudar a pautar a matéria.""",Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,Lamentou que o Estatuto do Idoso ainda seja pouco conhecido e tenha determinações legais desobedecidas.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
2e42e8583aea6939,0.279901,105,Aumento de orçamento para combater a tuberculose no Brasil,Ressaltou que o Brasil registra mais de 80 mil casos de tuberculose por ano.,Estratégias para a erradicação da tuberculose no Brasil até 2030,"Sugere foco no Amazonas para ampliar os futuros resultados efetivos de erradicação: ""No Amazonas, são 6 mil casos novos por ano. Então, o impacto de fazer um programa piloto na região para erradicação da tuberculose até 2030 dará a sensação de causa e efeito.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
3459768d16f576e5,0.547672,9,Discussão sobre a substituição do saque-aniversário do FGTS por uma nova modalidade de crédito consignado,"Criticou a possibilidade de extinção do saque-aniversário. 57% dos recursos são usados hoje para quitar dívidas. ""O saque-aniversário é como se fosse o 14º salário do trabalhador.""",Substituição do saque-aniversário do FGTS por empréstimo consignado com juros mais baixos,"O saque-aniversário tem sido importante para atender diversas necessidades do trabalhador, mas pode passar por aperfeiçoamentos.",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
1f862b43757396e1,0.123982,667,Regulamentação do lobby junto ao poder público,"Considerará, além do principal e do apensado, o PL 1202/07, também de Carlos Zarattini e pronto para o Plenário: ""A gente tem como harmonizar os projetos, acho que essa será a solução para que possamos avançar.""",Regulamentação do trabalho de motoristas de aplicativo,"[A gente] vai construir um relatório que tente ser harmonioso, para que a gente avance com essa matéria e que até o meio deste ano, antes do recesso, a gente consiga oferecer ao Brasil uma legislação justa e que atenda uma necessidade que hoje é real na nossa vida.",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
16c67be32f60e074,0.187104,705,Reajustes nas tarifas de energia elétrica devido ao represamento durante a pandemia e a escassez hídrica,"O debate sobre as contas de luz precisa ser ampliado: ""O problema é grave, mas vejo disposição de todos em buscar soluções, que passarão pelas energias renováveis.""",Participação da Câmara na definição das regras de renovação das concessões das distribuidoras de energia elétrica,Já existe consenso entre os parlamentares de que o modelo atual das concessionárias precisa ser mudado.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
2a22c99d1d3a678c,0.389679,603,Falhas no protocolo do SUS para o tratamento da retinopatia diabética,"A fila de espera por uma consulta é o principal problema: ""Porque o paciente fica sem acompanhamento. A gente sabe que o diabetes é uma doença progressiva, crônica e silenciosa, que vai causando uma série de problemas.""",Atualização do protocolo de tratamento de edema macular diabético no SUS,"O SUS precisa se atualizar para preservar a visão e a qualidade de vida dos pacientes: ""É fundamental que o SUS revise e atualize seus protocolos clínicos para incluir diretrizes claras e abrangentes para o diagnóstico, tratamento e acompanhamento do edema macular. Além disso, é necessário garantir um sistema de financiamento adequado que cubra os custos.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
56076bd074c74d1a,0.129062,48,Uso da tecnologia blockchain no serviço público,"O poder público brasileiro deve participar do esforço de pesquisa e aplicação da tecnologia blockchain: ""Acredito que estamos diante de uma grande possibilidade de inovação. O Brasil não pode e não deve ficar para traz nessa discussão"".",Pedido de concurso público e fortalecimento da Agência Nacional de Proteção de Dados (ANPD),"Os dados são hoje um ativo valioso, e é preciso dar mais condições para a agência desenvolver seu trabalho: ""Muitas vezes a gente faz um cadastro e imediatamente nosso telefone já está tocando com uma outra empresa que a gente não fez o cadastro oferecendo algum tipo de serviço, ou mandando e-mail ou mandando SMS, importunando inclusive o dia-a-dia do cidadão que está trabalhando. Então, isso é uma questão que a gente precisa avançar, precisa ter apoio deste Parlamento para que a ANPD possa desenvolver esse trabalho com cada vez mais eficiência, para que a gente possa proteger os cidadãos brasileiros dessas investidas e proteger os seus dados também.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
ebcdef50abd4418f,0.240448,399,Políticas públicas de proteção às mulheres e crianças indígenas,"Defendeu a proteção aos territórios indígenas e o avanço nas políticas de demarcação dos territórios: ""Se o território é protegido, a vida é protegida. Nossa Constituição diz que crianças e adolescentes são prioridades. Portanto, é fundamental traçar planos que envolvem políticas públicas e avançar na demarcação das terras indígenas e na sua homologação.""",Dificuldades na implantação de políticas públicas para a população LGBTQIA+,"Enfatizou a importância do planejamento das políticas públicas para essa parte da população: ""Os planos possibilitam a intersetorialidade e, ao mesmo tempo, a avaliação de especificidades dentro da comunidade LBGTQIA+.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
d3769de977ace19d,0.359324,21,Ações de prevenção de desastres naturais e auxílio à população detalhadas por ministérios na Câmara dos Deputados,"Cobrou maior número de contratos no novo PAC Encostas e reforço orçamentário: ""O País necessita organizar fontes de recursos específicas para a prevenção de desastres. Ao longo dos anos, temos recebido medidas provisórias que só chegam após o acontecimento do desastre, depois que a gente perde vidas e patrimônio.""",Melhorias na infraestrutura de prevenção a desastres e calamidades naturais,"Ressaltou que o Fundo Nacional de Calamidade Pública foi criado em 1969, mas nunca contou com fonte própria de recursos. Até hoje as emergências são atendidas por meio de medidas provisórias.",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
36fb1e1240a12ac4,0.149684,2,Racismo e preconceito contra indígenas no sistema prisional brasileiro e a proposta de uma lei prisional específica para indígenas,Sugeriu uma consulta pública sobre uma lei prisional específica para os indígenas.,Aprovação do Projeto de Lei 4347/21 para tornar permanente a Política Nacional de Gestão Territorial e Ambiental das Terras Indígenas,"Sugeriu o reconhecimento e a regulamentação dos agentes ambientais indígenas e a articulação do programa de gestão territorial com a Política de Educação Escolar Indígena e de Atendimento à Saúde Indígena: ""Fortalecendo os princípios da sustentabilidade com recursos orçamentários compatíveis com a necessidade das comunidades"".",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
36e4b11ff6345a11,0.172702,118,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Apoiou a ministra Nísia Trindade: ""O ministério, em poucos meses, conseguiu reconquistar a autoridade técnico-política da direção nacional do SUS. Isso é fundamental, porque, infelizmente, no governo anterior foi uma desmoralização.""",Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,Elogiou a gestão de Sílvio Almeida no Ministério dos Direitos Humanos.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
3d382d16e23d6fe6,0.301655,22,Disparidade de gênero na pós-graduação em ciências exatas e tecnológicas e financiamento menor para mulheres,"Nos programas de pós-graduação das universidades, dados de 2021 da plataforma Capes mostram que elas representavam 42% dos pesquisadores. Porém, no doutorado acadêmico, eram apenas 38%. Já no pós-doutorado, as mulheres representam 54% dos pesquisadores.",Melhoria das condições da pós-graduação no Brasil,"Dados da Capes mostram que o Brasil conta com mais de 4.500 programas de pós-graduação, e quase 7 mil cursos. No ano que vem, outros 300 cursos devem entrar no sistema.",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
9b028d8dc263fd18,0.12156,21,Revisão do Marco Legal da Inovação para facilitar sua operacionalização,Citou o projeto de lei em tramitação no Senado (PLS 226/16) que concede autonomia financeira aos institutos de ciência e tecnologia públicos e dá segurança jurídica para a concessão de bolsas e isenção de impostos de importação para empresas em projetos de pesquisa e desenvolvimento.,"Discussão sobre mudanças na Lei do Bem para facilitar a colaboração entre universidades, empresas e governo e promover inovações","Solicitou que as empresas possam usar o excedente de recursos destinados à pesquisa tecnológica em anos posteriores para cumprimento da legislação: ""A gente está falando do único instrumento fiscal que o Brasil tem para apoiar as empresas a inovar""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
de54c782d361768c,0.256197,65,Aumento da violência contra mulheres devido ao desmonte de políticas públicas e ascensão do ultraconservadorismo,A melhor maneira de quebrar o ciclo da violência é a independência econômica das mulheres. Medidas como casas de acolhimento e inserção no mercado de trabalho são fundamentais.,Políticas públicas voltadas para mulheres no climatério e menopausa,"Disse: 'É necessário debater a promoção da saúde da mulher para esse ciclo da vida, buscando criar políticas públicas efetivas que melhorem a qualidade de vida dessas mulheres.'",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
ffe531755c6def2e,1.0,35,Regulamentação do trabalho de motoristas de aplicativo,Defendeu a rejeição integral da proposta do Executivo.,Regulamentação do trabalho de motoristas de aplicativo,Rechaça a proposta do governo.,article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
4cffd4e8a3906c01,0.114424,132,Debate sobre ativismo judicial na Câmara dos Deputados,"O Parlamento deve tratar sobre certos assuntos, ainda que seja ao não votar nada sobre o tema: ""Quem tem competência e quem deve exprimir a voz da população, os anseios do povo, da sociedade, é o Poder Legislativo. Ele que foi votado, ele que foi escolhido para isso. E, se o Poder Legislativo silencia em função de determinado tema, muitas vezes é um silêncio eloquente, é porque não há o amadurecimento necessário ainda para legislar sobre aquilo.""",Participação da Câmara na definição das regras de renovação das concessões das distribuidoras de energia elétrica,"Criticou as distribuidoras por estarem criando dificuldade para conectar as unidades de geração distribuída à rede elétrica: ""As distribuidoras não estão obedecendo à lei, não estão obedecendo às próprias resoluções da Aneel""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
e001ebac1d8033f1,0.210802,99,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,"Avalia que a situação exige apoio extra às vítimas: ""Eu acho que a gente tem que criar um sistema nacional de apoio às vítimas de desastres, um arcabouço que faça parte, inclusive, do Sistema Nacional de Defesa Civil, com prevenção, pronta resposta e recuperação das áreas atingidas por desastres.""",Ações de prevenção de desastres naturais e auxílio à população detalhadas por ministérios na Câmara dos Deputados,"""O grande desafio é criar um arcabouço legal que possa dar proteção especialmente aos vulneráveis. Imagina o que é, na Amazônia, não ter acesso a um médico porque as hidrovias e os rios estão secos; ou, no Rio Grande do Sul, a perda de pequenas atividades comerciais que sustentavam famílias inteiras.""",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
d336204af6200b5c,0.389679,603,Falhas no protocolo do SUS para o tratamento da retinopatia diabética,"""A pessoa com diabetes, no mínimo, tem que passar uma vez ao ano para fazer o exame adequado nos olhos e para ver como está o controle da doença.""",Atualização do protocolo de tratamento de edema macular diabético no SUS,"Os gastos hoje com diabetes superam 43 bilhões de dólares ao ano, e 60% desse valor cobre complicações da doença.",article_publication_only,LDS_opinion_summary_not_verbatim_speech,LDS_opinion_summary_not_verbatim_speech,,,,,,,,,
