pair_id,actor_id,actor_name,topic_similarity,gap_publication_days,temporal_order_verified,date_basis,candidate_method,source_dataset_a,hearing_id_a,hearing_date_a,publication_date_a,topic_a,text_a,text_kind_a,proposition_silver_a,stance_silver_a,evidence_a,evidence_status_a,source_actor_index_a,source_opinion_index_a,source_dataset_b,hearing_id_b,hearing_date_b,publication_date_b,topic_b,text_b,text_kind_b,proposition_silver_b,stance_silver_b,evidence_b,evidence_status_b,source_actor_index_b,source_opinion_index_b
263f772b51bf1354,alexandre da silva,Alexandre da Silva,0.142105,173,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,149,,2023-10-19,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",LDS_opinion_summary_not_verbatim_speech,"O Estado brasileiro precisa se reorganizar para atender ao envelhecimento da população e garantir serviços de saúde, moradia e cuidados aos idosos. | O envelhecimento da população ameaça a sustentabilidade da Previdência, com risco de déficit devido à redução da razão entre trabalhadores e aposentados. | As desigualdades regionais exigem planos de envelhecimento diferentes para cada região do Brasil.",A FAVOR | NEUTRO,,not_verified_in_transcript,2,0,PublicHearingBR_LDS.jsonl,110,,2024-04-09,Prioridade para a agenda do envelhecimento saudável no G20,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",LDS_opinion_summary_not_verbatim_speech,O envelhecimento ativo e saud,A FAVOR,,not_verified_in_transcript,3,1
d4e87de87b4f3431,adriana ventura,Adriana Ventura,0.172702,118,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,199,,2023-08-09,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",LDS_opinion_summary_not_verbatim_speech,A ausência de autossuficiência na produção de insumos de saúde coloca o S,ERRO API,,not_verified_in_transcript,1,0,PublicHearingBR_LDS.jsonl,16,,2023-12-05,Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,"""Ela é esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico e lavagem de dinheiro. Nos causou muito desconforto, principalmente porque houve audiência com servidores e o ministério pagou diárias e viagens. Nós fizemos requerimento de informação, denúncia na Comissão de Ética Pública e projeto de lei para que a não publicização de agenda e compromisso seja configurada como improbidade administrativa.""",LDS_opinion_summary_not_verbatim_speech,"O Ministério dos Direitos Humanos custeou diárias e passagens para Luciane Barbosa Farias, esposa de líder do Comando Vermelho, gerando acusação de irregularidade e possível improbidade administrativa. | A oposição utiliza as denúncias sobre o custeio",A FAVOR | NEUTRO,,not_verified_in_transcript,1,0
24c599750bdd544f,any ortiz,Any Ortiz,0.651838,14,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,195,,2023-08-10,Regulamentação dos mercados digitais no Brasil,"Acredita que a audiência pública com especialistas estrangeiros é um movimento de vanguarda no Parlamento brasileiro: ""Nós estamos aqui tendo uma grande oportunidade de enriquecer o debate, aprendendo com o que já foi construído em outros países, e a experiência que têm, considerando o fato de que os mercados digitais têm se expandido de forma exponencial nas últimas décadas com serviços de tecnologia e informação se tornando cada vez mais presentes na vida cotidiana das pessoas e empresas.""",LDS_opinion_summary_not_verbatim_speech,"O Brasil deve adotar um modelo regulatório mais flexível, inspirado na Alemanha e no Reino Unido, e não seguir o modelo da União Europeia. | A regulação deve focar na suavização do controle de acesso das plataformas digitais essenciais, e não em combater fake news ou proteger a democracia. | Essa regulação aumentará os custos das plataformas, que serão repassados aos consumidores, elevando os preços finais.",ERRO API,,not_verified_in_transcript,3,0,PublicHearingBR_LDS.jsonl,189,,2023-08-24,Mudanças no projeto de regulamentação dos mercados digitais (PL 2768/22),"""Nós entendemos a importância dos mercados digitais na economia local e é fundamental que a Câmara dos Deputados promova um debate aprofundado. Posteriormente faremos também um seminário para incluir demais players.""",LDS_opinion_summary_not_verbatim_speech,"A tributação baseada na receita das plataformas pode ser desequilibrada e beneficiar grandes empresas como Google e Apple. | O Brasil deve evitar importar modelos regulatórios de outros países e adaptar normas à sua realidade. | Critérios de tamanho (faturamento, número de inscritos) podem mascarar a concorrência efetiva e regular mercados competitivos indevidamente.",ERRO API,,not_verified_in_transcript,3,0
8f79764e69daadf2,alexandre lindenmeyer,Alexandre Lindenmeyer,0.142105,173,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,149,,2023-10-19,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",LDS_opinion_summary_not_verbatim_speech,"O Estado brasileiro precisa se reorganizar para atender ao envelhecimento da população e garantir serviços de saúde, moradia e cuidados aos idosos. | O envelhecimento da população ameaça a sustentabilidade da Previdência, com risco de déficit devido à redução da razão entre trabalhadores e aposentados. | As desigualdades regionais exigem planos de envelhecimento diferentes para cada região do Brasil.",A FAVOR | NEUTRO,,not_verified_in_transcript,0,0,PublicHearingBR_LDS.jsonl,110,,2024-04-09,Prioridade para a agenda do envelhecimento saudável no G20,A pauta do envelhecimento saudável não é exclusiva do Brasil.,LDS_opinion_summary_not_verbatim_speech,O envelhecimento ativo e saud,NEUTRO,,not_verified_in_transcript,1,0
af4d70f0c140e9c9,ana paula lima,Ana Paula Lima,0.197176,215,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,57,,2023-04-20,Discussão sobre a eficácia de guardas armados e medidas de segurança nas escolas para combater a violência,"O aumento da violência nas escolas é reflexo do ambiente político vigente no Brasil nos últimos anos: ""O que a gente podia esperar se tivemos personalidades políticas que incitavam o ódio e a violência, faziam 'arminha'? Até hoje parlamentares desta Casa tiram foto com metralhadora empunhada, disseminando o ódio e a violência.""",LDS_opinion_summary_not_verbatim_speech,"A presença de guardas armados nas escolas não resolve a violência escolar e pode agravar o problema. | A violência nas escolas reflete a cultura de ódio e a retórica política que incita violência no Brasil. | Um ambiente escolar democrático e saudável é a prevenção mais eficaz, em vez de medidas de segurança armadas.",ERRO API,,not_verified_in_transcript,4,0,PublicHearingBR_LDS.jsonl,30,,2023-11-21,Inclusão de emendas na LDO para combater violência contra crianças e adolescentes,As cinco emendas no projeto de Lei de Diretrizes Orçamentárias (LDO) de 2024 para combater a violência contra crianças e adolescentes foram aceitas pelo relator da LDO.,LDS_opinion_summary_not_verbatim_speech,A inclusão de emendas na LDO para combater violência contra crianças e adolescentes deve,A FAVOR,,not_verified_in_transcript,0,0
d4c07b40fb424a0c,bia kicis,Bia Kicis,0.566205,20,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,15,,2023-11-08,Obrigatoriedade da vacinação contra Covid-19 em crianças de 6 meses a 5 anos a partir de 2024,"A discussão não deve ser politizada: ""Existe uma elite globalista que quer, sim, forçar essa vacinação, inclusive em bebês, e o Brasil está sendo pioneiro nessa obrigação. No resto do mundo, até pode se recomendar, mas não se obriga. Vão começar pelo Brasil pra depois começar a obrigar nos outros lugares também?""",LDS_opinion_summary_not_verbatim_speech,"A vacinação obrigatória contra Covid-19 em crianças de 6 meses a 5 anos deve ser mantida a partir de 2024. | A obrigatoriedade da vacinação em crianças está respaldada pela legislação do PNI e do Estatuto da Criança e do Adolescente. | A discussão sobre a vacinação infantil deve ser separada de interesses políticos e globais, evitando a politização da questão. | A obrigatoriedade",ERRO API,,not_verified_in_transcript,2,1,PublicHearingBR_LDS.jsonl,129,,2023-11-28,Debate sobre a vacinação de crianças contra Covid-19,"O imunizante não deveria ser chamado de vacina, mas de terapia gênica. O assunto precisa de mais debates: ""Nós somos todos favoráveis às vacinas que estão no PNI há muito tempo, que são vacinas seguras, de eficácia comprovada, mas essa, o próprio FDA chama de terapia gênica.""",LDS_opinion_summary_not_verbatim_speech,"A vacina contra Covid-19 deve ser incluída no Programa Nacional de Imunização para crianças de 6 meses a 5 anos, conforme recomendação de sociedades científicas e dados de mortalidade. | A vacina de RNA mensage",ERRO API,,not_verified_in_transcript,1,2
0138e27cd0f53d95,aliel machado,Aliel Machado,0.104432,99,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,41,,2023-06-28,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,"Considera constrangedor que o projeto ainda não tenha sido aprovado: ""Nós estamos agora em um processo de articulação para a aprovação dessa que é uma necessidade para o nosso país, e nos constrange ter isso na pauta há tanto tempo e ainda não termos conseguido. Já me reuni com o presidente desta Casa, que se comprometeu em nos ajudar a pautar a matéria.""",LDS_opinion_summary_not_verbatim_speech,"A ratificação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos deve ocorrer antes de outubro para celebrar os 20 anos do Estatuto da Pessoa Idosa. | O Brasil, apesar de ter sido um dos primeiros a assinar a convenção, ainda não a ratificou, o que é constrangedor e indica atraso legislativo. | A convenção introduz direitos e conceitos inexistentes na legislação brasileira, exigindo uma mudança de paradigma no tratamento à população idosa.",ERRO API,,not_verified_in_transcript,1,0,PublicHearingBR_LDS.jsonl,155,,2023-10-05,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,Lamentou que o Estatuto do Idoso ainda seja pouco conhecido e tenha determinações legais desobedecidas.,LDS_opinion_summary_not_verbatim_speech,"O Estatuto do Idoso ainda é pouco conhecido e suas determinações legais são frequentemente descumpridas. | O Estatuto garante direitos concretos, como acompanhante em tempo integral em hospitais, proteção contra aumentos abusivos em planos de saúde e cotas em programas habitacionais. | O etarismo, ou discriminação por idade, impede a cidadania plena e a segurança nas aposentadorias e no mercado",A FAVOR | CONTRA,,not_verified_in_transcript,0,0
2e42e8583aea6939,antonio brito,Antonio Brito,0.279901,105,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,123,,2023-12-05,Aumento de orçamento para combater a tuberculose no Brasil,Ressaltou que o Brasil registra mais de 80 mil casos de tuberculose por ano.,LDS_opinion_summary_not_verbatim_speech,"O orçamento atual de apenas R$ 14 milhões para o combate à tuberculose é insuficiente e deve ser ampliado. | A luta contra a tuberculose exige ações que vão além do financiamento, como o combate à pobreza e a oferta de transporte e alimentação gratuitos para garantir a adesão ao tratamento. | O Brasil precisa alcançar menos de 10 casos por 100 mil habitantes até 2030, o que requer um orçamento de pelo menos R$ 650 milhões e melhorias nos sistemas de diagnóstico e monitoramento.",NEUTRO | A FAVOR,,not_verified_in_transcript,0,1,PublicHearingBR_LDS.jsonl,114,,2024-03-19,Estratégias para a erradicação da tuberculose no Brasil até 2030,"Sugere foco no Amazonas para ampliar os futuros resultados efetivos de erradicação: ""No Amazonas, são 6 mil casos novos por ano. Então, o impacto de fazer um programa piloto na região para erradicação da tuberculose até 2030 dará a sensação de causa e efeito.""",LDS_opinion_summary_not_verbatim_speech,"O combate à tuberculose deve ser intensificado em todo o território brasileiro, não apenas no Amazonas. | O Brasil precisa de financiamento permanente e previsível para o programa de erradicação, e não apenas de emendas parlamentares pontuais. | A erradicação da tuberculose depende da disponibilidade de vacinas eficazes e de um tratamento mais curto, exigindo investimento em pesquisa e produção de insumos.",CONTRA | NEUTRO,,not_verified_in_transcript,0,1
3459768d16f576e5,capitao alberto neto,Capitão Alberto Neto,0.547672,9,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,3,,2024-04-17,Discussão sobre a substituição do saque-aniversário do FGTS por uma nova modalidade de crédito consignado,"Criticou a possibilidade de extinção do saque-aniversário. 57% dos recursos são usados hoje para quitar dívidas. ""O saque-aniversário é como se fosse o 14º salário do trabalhador.""",LDS_opinion_summary_not_verbatim_speech,O saque-aniversário do FGTS deve ser extinto e substituído por um novo crédito consignado. | A nova modalidade de crédito consignado pode gerar risco de endividamento excessivo do trabalhador. | O governo precisa de apoio do Congresso antes de avançar com a proposta de substituição.,ERRO API,,not_verified_in_transcript,1,0,PublicHearingBR_LDS.jsonl,10,,2024-04-26,Substituição do saque-aniversário do FGTS por empréstimo consignado com juros mais baixos,"O saque-aniversário tem sido importante para atender diversas necessidades do trabalhador, mas pode passar por aperfeiçoamentos.",LDS_opinion_summary_not_verbatim_speech,O Ministério do Trabalho pretende acabar com o saque-aniversário do FGTS e substituí‑lo por empréstimo consignado via E‑Social. | O saque-aniversário ameaça a sustentabilidade do FGTS e pode inviabilizar o financiamento de moradias para famílias de baixa renda. | Os juros excessivos das antecipações (cerca de 23% ao ano) e a proposta de taxas semelhantes no novo consignado prejudicam trabalhadores negativados e ferem o princípio da defesa do consumidor.,ERRO API,,not_verified_in_transcript,1,1
1f862b43757396e1,augusto coutinho,Augusto Coutinho,0.123982,667,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,80,,2022-06-28,Regulamentação do lobby junto ao poder público,"Considerará, além do principal e do apensado, o PL 1202/07, também de Carlos Zarattini e pronto para o Plenário: ""A gente tem como harmonizar os projetos, acho que essa será a solução para que possamos avançar.""",LDS_opinion_summary_not_verbatim_speech,"O PL 4391/21 do Executivo não atende plenamente aos requisitos de transparência e, portanto, deve ser complementado por emendas. | A regulamentação do lobby deve",A FAVOR,,not_verified_in_transcript,0,2,PublicHearingBR_LDS.jsonl,87,,2024-04-25,Regulamentação do trabalho de motoristas de aplicativo,"[A gente] vai construir um relatório que tente ser harmonioso, para que a gente avance com essa matéria e que até o meio deste ano, antes do recesso, a gente consiga oferecer ao Brasil uma legislação justa e que atenda uma necessidade que hoje é real na nossa vida.",LDS_opinion_summary_not_verbatim_speech,"O relatório que regulamenta o trabalho dos motoristas de aplicativo deve ser apresentado na Câmara antes do recesso de julho. | A regulamentação não pode enquadrar o motorista de aplicativo como MEI, pois isso o deixaria sem proteção social. | A modelagem de remuneração baseada em quilômetro rodado, negociada pelos próprios motoristas, deve substituir a proposta governamental que beneficia as plataformas.",A FAVOR | NEUTRO,,not_verified_in_transcript,0,2
