pair_id,side,source_record_id,event_confirmed,date_confirmed,actor_confirmed,speech_confirmed,evidence_confirmed,reviewer_confidence,reviewer_notes,reviewer
263f772b51bf1354,a,149,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
263f772b51bf1354,b,110,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
d4e87de87b4f3431,a,199,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
d4e87de87b4f3431,b,16,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
24c599750bdd544f,a,195,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
24c599750bdd544f,b,189,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
8f79764e69daadf2,a,149,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
8f79764e69daadf2,b,110,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
af4d70f0c140e9c9,a,57,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
af4d70f0c140e9c9,b,30,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
