pair_id,actor_id,actor_name,hearing_id_earlier,hearing_id_later,publication_date_earlier,publication_date_later,delta_publication_days,topic_earlier,topic_later,tfidf_similarity,similarity_stratum,temporal_stratum,actor_in_gold_pilot,pilot_excluded,eligible_for_expansion,exclusion_reason
8b9017a72effb414,alexandre da silva,Alexandre da Silva,52,41,2023-05-18,2023-06-28,41,Discussão sobre o preconceito contra idosos e medidas para combatê-lo,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,0.133606,LOW,MEDIUM,true,false,true,
370ab0f946469bab,alexandre da silva,Alexandre da Silva,52,155,2023-05-18,2023-10-05,140,Discussão sobre o preconceito contra idosos e medidas para combatê-lo,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,0.123683,LOW,MEDIUM,true,false,true,
62551a12ba0d40a1,alexandre lindenmeyer,Alexandre Lindenmeyer,149,120,2023-10-19,2023-12-07,49,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,Precarização do trabalho na mineração brasileira,0.136235,LOW,MEDIUM,true,false,true,
9a442461500dc62e,any ortiz,Any Ortiz,195,179,2023-08-10,2023-08-31,21,Regulamentação dos mercados digitais no Brasil,Riscos e benefícios da regulamentação do mercado digital,0.134659,LOW,SHORT,true,false,true,
1f862b43757396e1,augusto coutinho,Augusto Coutinho,80,87,2022-06-28,2024-04-25,667,Regulamentação do lobby junto ao poder público,Regulamentação do trabalho de motoristas de aplicativo,0.123982,LOW,LONG,false,false,true,
56076bd074c74d1a,caio vianna,Caio Vianna,166,138,2023-09-20,2023-11-07,48,Uso da tecnologia blockchain no serviço público,Pedido de concurso público e fortalecimento da Agência Nacional de Proteção de Dados (ANPD),0.129062,LOW,MEDIUM,false,false,true,
16c67be32f60e074,danilo forte,Danilo Forte,91,104,2022-05-12,2024-04-16,705,Reajustes nas tarifas de energia elétrica devido ao represamento durante a pandemia e a escassez hídrica,Participação da Câmara na definição das regras de renovação das concessões das distribuidoras de energia elétrica,0.187104,MEDIUM,LONG,false,false,true,
e2e808118c9ee9de,dr zacharias calil,Dr. Zacharias Calil,68,60,2022-08-17,2022-12-06,111,Falhas no protocolo do SUS para o tratamento da retinopatia diabética,Benefícios e desafios do Programa QualiSUS Cardio para o atendimento a idosos no SUS,0.102469,LOW,MEDIUM,true,false,true,
42af9ecf027d72bc,erika kokay,Erika Kokay,200,127,2023-08-08,2023-11-29,113,Apoio ao Projeto de Lei 1673/21 que institui a Política Nacional de Saúde Funcional,Política nacional de cuidados para idosos,0.240112,MEDIUM,MEDIUM,true,false,true,
3ebdfd5f91baeb30,erika kokay,Erika Kokay,53,5,2023-05-17,2024-04-09,328,Participação de pessoas com deficiência nos projetos culturais para garantir inclusão,Cumprimento dos direitos das pessoas com autismo,0.168257,MEDIUM,LONG,true,false,true,
