pair_id,declared_validation_status,derived_validation_status,integrity_status,missing_review_fields,issues,distinct_events_verified,temporal_order_verified,input_sides_swapped
8b9017a72effb414,VALIDATED,VALIDATED,PASS,,,true,true,false
370ab0f946469bab,VALIDATED,VALIDATED,PASS,,,true,true,false
62551a12ba0d40a1,VALIDATED,VALIDATED,PASS,,,true,true,false
9a442461500dc62e,VALIDATED,VALIDATED,PASS,,,true,true,false
1f862b43757396e1,VALIDATED,VALIDATED,PASS,,,true,true,false
56076bd074c74d1a,VALIDATED,VALIDATED,PASS,,,true,true,false
16c67be32f60e074,VALIDATED,VALIDATED,PASS,,,true,true,false
e2e808118c9ee9de,VALIDATED,VALIDATED,PASS,,,true,true,false
42af9ecf027d72bc,VALIDATED,VALIDATED,PASS,,,true,true,false
3ebdfd5f91baeb30,VALIDATED,VALIDATED,PASS,,,true,true,false
9b028d8dc263fd18,VALIDATED,VALIDATED,PASS,,,true,true,false
982501e57fbbcdcc,VALIDATED,VALIDATED,PASS,,,true,true,false
06f6bf71ce0746e2,VALIDATED,VALIDATED,PASS,,,true,true,false
892d7d3a6e934091,VALIDATED,VALIDATED,PASS,,,true,true,false
90a4cc8b19325243,VALIDATED,VALIDATED,PASS,,,true,true,false
3f649c16713f4c6f,VALIDATED,VALIDATED,PASS,,,true,true,false
a9bdcddb335a5a07,VALIDATED,VALIDATED,PASS,,,true,true,false
379d85fc73b5d187,VALIDATED,VALIDATED,PASS,,,true,true,false
e13d509a937ffa5f,VALIDATED,VALIDATED,PASS,,,true,true,false
3d382d16e23d6fe6,INVALID,INVALID,PASS,,,true,true,false
597ab529d9e58c55,VALIDATED,VALIDATED,PASS,,,true,true,false
87fa10a79fe070e0,VALIDATED,VALIDATED,PASS,,,true,true,false
e8fa709c49d4cf21,INVALID,INVALID,PASS,,,true,true,false
ffe531755c6def2e,VALIDATED,VALIDATED,PASS,,,true,true,false
7d09d414bbbcee5f,INVALID,INVALID,PASS,,,true,true,false
6a7b7af41cec3ff3,VALIDATED,VALIDATED,PASS,,,true,true,false
f8189fa4faeb557c,VALIDATED,VALIDATED,PASS,,,true,true,false
99ca50f2ecb70ba4,VALIDATED,VALIDATED,PASS,,,true,true,false
57626a6d567bbd22,INVALID,INVALID,PASS,,,true,true,false
406f53bbc7b4086a,VALIDATED,VALIDATED,PASS,,,true,true,false
b4a84fb6380ec371,VALIDATED,VALIDATED,PASS,,,true,true,false
8034e650e53050e1,VALIDATED,VALIDATED,PASS,,,true,true,false
8c2dfcbfad142a02,VALIDATED,VALIDATED,PASS,,,true,true,false
d336204af6200b5c,INVALID,INVALID,PASS,,,true,true,false
