record_id,nli_actor_index,nli_opinion_index,nli_chunk_index,nli_actor_name,nli_opinion,match_method,occurrences,actor_turn_occurrences,transcript_start,transcript_end,matched_text,speaker_name,turn_start,turn_end,turn_attribution_verified
3,0,0,0,Lucas Ramos,Abertura da reunião e saudação aos presentes.,NORMALIZED_EXACT_MATCH,1,1,42,779,"Senhoras e senhores, muito bom dia.

Havendo quórum regimental, nos termos do art. 219, inciso II, do Regimento Interno da Câmara dos Deputados, declaro aberta a presente reunião, com a presença ilustre do Sr. Ministro de Estado do Trabalho e Emprego, S.Exa., o Sr. Ministro Luiz Marinho, que apresentará, na oportunidade, o Plano de Trabalho do Ministério para o ano de 2024.

Já está aqui à mesa, ao meu lado, o Sr. Ministro. Seja bem-vindo, Ministro.

Eu aproveito para registrar as presenças dos Deputados e Deputadas: Alexandre Lindenmeyer, Alfredinho, André Figueiredo, Bohn Gass, Geovania de Sá, Luiz Carlos Motta, Vicentinho, Airton Faleiro, Fernanda Pessoa, Flávia Morais, Rogério Correia, Clodoaldo Magalhães, Lindbergh Farias.",Lucas Ramos,42,2080,true
3,0,0,1,Lucas Ramos,Abertura da reunião e saudação aos presentes.,NO_MATCH,0,0,,,,,,,unknown
3,0,0,2,Lucas Ramos,Abertura da reunião e saudação aos presentes.,EXACT_MATCH,1,1,129525,129954,"Deputadas e os Srs. Deputados quanto à possibilidade de, ao término da fala do Sr. Ministro, aproveitarmos o quórum de presença desta reunião e darmos início à reunião deliberativa. Estando todos de acordo, ao final da fala do Ministro, nós suspenderemos a reunião por 5 minutos e, em seguida, retomaremos a reunião deliberativa, aprovado o aproveitamento do quórum, conforme a manifestação das Sras. Deputadas e Srs. Deputados.
",Lucas Ramos,129338,130106,true
3,0,0,3,Lucas Ramos,Abertura da reunião e saudação aos presentes.,NORMALIZED_EXACT_MATCH,1,1,497,1053,"Eu aproveito para registrar as presenças dos Deputados e Deputadas: Alexandre Lindenmeyer, Alfredinho, André Figueiredo, Bohn Gass, Geovania de Sá, Luiz Carlos Motta, Vicentinho, Airton Faleiro, Fernanda Pessoa, Flávia Morais, Rogério Correia, Clodoaldo Magalhães, Lindbergh Farias. E registro a ausência, justificada por motivo de licença de saúde, do Deputado Daniel Almeida, que manda um abraço ao Ministro.

Eu quero, antes de passar a palavra ao Ministro, pedir a atenção das Sras. e dos Srs. Deputados presentes em relação às normas internas da Casa.",Lucas Ramos,42,2080,true
3,0,1,0,Lucas Ramos,Explicação sobre as normas e procedimentos da audiência.,NORMALIZED_EXACT_MATCH,1,1,995,1396,"Deputados presentes em relação às normas internas da Casa.

O Ministro irá dispor de 40 minutos para a sua explanação, podendo o prazo ser prorrogado por 20 minutos por deliberação do Plenário permitidos apartes somente durante a prorrogação. É o que diz o art. 222, no § 1º.

Os Srs. Deputados interessados em interpelar o expositor deverão inscrever-se previamente junto à Secretaria desta Comissão.",Lucas Ramos,42,2080,true
3,0,1,1,Lucas Ramos,Explicação sobre as normas e procedimentos da audiência.,NORMALIZED_EXACT_MATCH,1,1,1280,1814,"Deputados interessados em interpelar o expositor deverão inscrever-se previamente junto à Secretaria desta Comissão. A lista de inscrição já está aberta. Após o encerramento da exposição, os Deputados inscritos para interpelar o expositor poderão fazê-lo estritamente sobre o assunto em exposição pelo prazo de até 3 minutos, tendo o Sr. Ministro igual tempo para a resposta, facultadas à réplica e a tréplica, pelo mesmo prazo, art. 222, §§ 2º e 3º.

Esclareço ainda que esta reunião está sendo gravada e, por isso, solicito às Sras.",Lucas Ramos,42,2080,true
3,0,1,2,Lucas Ramos,Explicação sobre as normas e procedimentos da audiência.,NORMALIZED_EXACT_MATCH,1,1,497,1053,"Eu aproveito para registrar as presenças dos Deputados e Deputadas: Alexandre Lindenmeyer, Alfredinho, André Figueiredo, Bohn Gass, Geovania de Sá, Luiz Carlos Motta, Vicentinho, Airton Faleiro, Fernanda Pessoa, Flávia Morais, Rogério Correia, Clodoaldo Magalhães, Lindbergh Farias. E registro a ausência, justificada por motivo de licença de saúde, do Deputado Daniel Almeida, que manda um abraço ao Ministro.

Eu quero, antes de passar a palavra ao Ministro, pedir a atenção das Sras. e dos Srs. Deputados presentes em relação às normas internas da Casa.",Lucas Ramos,42,2080,true
3,0,1,3,Lucas Ramos,Explicação sobre as normas e procedimentos da audiência.,NORMALIZED_EXACT_MATCH,1,1,34564,35581,"E registro também a presença do Deputado Fernando Mineiro.

Eu quero, já orientando o encaminhamento do nosso trabalho neste encontro, dizer que estão presentes nesta reunião membros do Poder Executivo, do Ministério do Trabalho e Emprego: o Sr. Magno Lavigne, Secretário de Qualificação e Fomento à Geração de Emprego e Renda; o Sr. Luiz Felipe Brandão de Mello, Secretário de Inspeção do Trabalho; o Sr. Marcos Perioto, Secretário de Relações do Trabalho; o Sr. Carlos Augusto, Secretário de Proteção ao Trabalhador; e o Sr. Ricardo Panquestor, Consultor Jurídico do Ministério.

É uma importante manifestação de atenção e respeito por parte do Poder Executivo a este Parlamento trazer uma equipe extremamente qualificada para o nosso debate.

Inicio esta fase estabelecendo uma ordem de fala entre membros e não membros. Podemos fazer assim: cinco membros desta Comissão, depois outros cinco não membros, priorizando o autor do requerimento, o Deputado Capitão Alberto Neto, a quem, de imediato, concedo a palavra.",Lucas Ramos,33204,35583,true
3,1,0,0,Luiz Marinho,O Ministério do Trabalho está sendo reconstruído após ser extinto no governo anterior.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,0,1,Luiz Marinho,O Ministério do Trabalho está sendo reconstruído após ser extinto no governo anterior.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
